game_no,attacking_team,defending_team,game_time,x_axis,y_axis,distance_to_goal,play_type,assist,outcome
24,Sydney,Melbourne Victory,21.42,2.29,34.33,4.9,Open play,Cross,Goal
24,Sydney,Melbourne Victory,23.23,26.77,30.12,26.77,Open play,Short pass,Blocked
24,Sydney,Melbourne Victory,23.3,24.94,35.43,25.52,Open play,Medium pass,Missed
24,Sydney,Melbourne Victory,30.09,18.85,28.53,18.91,Open play,Turnover,Saved
24,Sydney,Melbourne Victory,32.49,12.42,27.12,12.75,Open play,Cross,Missed
24,Sydney,Melbourne Victory,38.23,16.61,20.25,19.26,Open play,Long through,Saved
24,Sydney,Melbourne Victory,57.56,18.16,18.02,21.76,Open play,Medium pass,Missed
24,Sydney,Melbourne Victory,71.17,22.37,33.84,22.7,Open play,Short pass,Missed
24,Sydney,Melbourne Victory,71.38,11.62,24.46,12.87,Open play,Medium through,Saved
24,Sydney,Melbourne Victory,71.53,21.18,32.24,21.3,Open play,Short pass,Saved
24,Sydney,Melbourne Victory,90.38,11.05,30.67,11.07,Open play,Turnover,Blocked
24,Melbourne Victory,Sydney,8.58,19.85,30,19.85,Open play,Medium pass,Missed
24,Melbourne Victory,Sydney,8.59,10.37,27.86,10.59,Open play,Missed shot,Saved
24,Melbourne Victory,Sydney,12.52,11.82,42.6,17.28,Open play,Short through,Missed
24,Melbourne Victory,Sydney,38.08,14.04,20.65,16.87,Open play,Medium through,Blocked
24,Melbourne Victory,Sydney,45.57,13.74,34.86,14.57,Open play,Turnover,Goal
24,Melbourne Victory,Sydney,51.38,7.55,18.62,13.66,Open play,Long through,Saved
24,Melbourne Victory,Sydney,52.39,5.89,33.52,6.86,Corner,Corner,Saved
24,Melbourne Victory,Sydney,76.05,29.52,45.09,33.15,Open play,Turnover,Saved
24,Melbourne Victory,Sydney,81.27,11.12,33.11,11.55,Open play,Medium pass,Saved
24,Melbourne Victory,Sydney,92.11,4.98,33.1,5.87,Corner,Corner,Blocked
24,Melbourne Victory,Sydney,93.15,10.89,32.6,11.2,Open play,Cross,Saved
24,Melbourne Victory,Sydney,93.48,2.87,27.07,4.1,Open play,Corner,Missed
25,Newcastle,Adelaide,1.37,28.6,33.38,28.8,Open play,Turnover,Saved
25,Newcastle,Adelaide,2.34,19.85,27.23,20.04,Open play,Short pass,Missed
25,Newcastle,Adelaide,6.09,4.87,25.6,6.56,Corner,Corner,Missed
25,Newcastle,Adelaide,8,10.7,43.68,17.37,Open play,Long pass,Missed
25,Newcastle,Adelaide,20.11,8.88,34.07,9.77,Set play,Free Kick,Missed
25,Newcastle,Adelaide,20.57,30.44,38.65,31.65,Open play,Medium pass,Missed
25,Newcastle,Adelaide,38.24,16.01,26.69,16.35,Open play,Header,Missed
25,Newcastle,Adelaide,42.33,29.52,27.21,29.65,Open play,Medium pass,Saved
25,Newcastle,Adelaide,44.08,17.1,22.26,18.77,Open play,Turnover,Blocked
25,Newcastle,Adelaide,55.44,5.92,23.63,8.7,Open play,Short pass,Saved
25,Newcastle,Adelaide,56.03,11.67,34.99,12.69,Corner,Corner,Missed
25,Newcastle,Adelaide,56.47,21.82,24.32,22.55,Open play,Long pass,Missed
25,Newcastle,Adelaide,69.56,12.01,29.8,12.01,Open play,Cross,Missed
25,Newcastle,Adelaide,76,10.65,29.9,10.65,Corner,Corner,Saved
25,Newcastle,Adelaide,81.49,5.6,31.38,5.77,Open play,Short pass,Missed
25,Adelaide,Newcastle,10.46,30.21,29.19,30.22,Open play,Medium pass,Missed
25,Adelaide,Newcastle,12.57,16.85,29.85,16.85,Open play,Medium pass,Goal
25,Adelaide,Newcastle,25.05,5.77,36.44,8.65,Set play,Free Kick,Goal
25,Adelaide,Newcastle,65.4,22.35,28.8,22.38,Corner,Corner,Missed
25,Adelaide,Newcastle,67.13,6.15,27.02,6.83,Open play,Cross,Missed
25,Adelaide,Newcastle,74.01,13.36,27.75,13.55,Open play,Long through,Saved
25,Adelaide,Newcastle,74.04,7.78,25.46,9.01,Open play,Missed shot,Goal
25,Adelaide,Newcastle,81.12,21.14,51.23,29.96,Open play,Short pass,Missed
25,Adelaide,Newcastle,87.19,18.76,30,18.76,Open play,Short pass,Saved
25,Adelaide,Newcastle,90.22,20.86,32.98,21.07,Open play,Medium pass,Goal
25,Adelaide,Newcastle,92.23,12.79,22.94,14.61,Open play,Short pass,Missed
25,Adelaide,Newcastle,92.54,20.1,34.3,20.55,Open play,Short pass,Blocked
25,Adelaide,Newcastle,93.04,8.44,40.25,13.28,Open play,Short pass,Missed
26,Newcastle,Melbourne City,5.09,29.06,29.62,29.06,Open play,Short pass,Missed
26,Newcastle,Melbourne City,76.21,21.14,35.21,21.77,Open play,Short pass,Blocked
26,Melbourne City,Newcastle,7,4.8,21.57,9.7,Open play,Medium through,Saved
26,Melbourne City,Newcastle,17.15,13.56,24.77,14.53,Open play,Medium through,Blocked
26,Melbourne City,Newcastle,17.28,5.38,39.79,11.17,Open play,Long through,Saved
26,Melbourne City,Newcastle,36.49,23.57,38.42,25.03,Open play,Medium pass,Blocked
26,Melbourne City,Newcastle,43.41,20.28,30.27,20.28,Open play,Short pass,Goal
26,Melbourne City,Newcastle,46.18,12.44,17.54,17.61,Open play,Medium through,Missed
26,Melbourne City,Newcastle,48.46,27.23,34.37,27.58,Open play,Long through,Saved
26,Melbourne City,Newcastle,54.39,5.78,30.62,5.81,Open play,Cross,Missed
26,Melbourne City,Newcastle,78.3,5.92,30.13,5.92,Corner,Corner,Missed
26,Melbourne City,Newcastle,81.44,11.99,23.32,13.73,Open play,Short pass,Blocked
26,Melbourne City,Newcastle,86.4,11.05,38.33,13.84,Open play,Medium pass,Saved
27,Newcastle,Melbourne Victory,5.12,5.12,28.12,5.45,Set play,Free Kick,Missed
27,Newcastle,Melbourne Victory,12.11,9.15,38.79,12.69,Open play,Short pass,Saved
27,Newcastle,Melbourne Victory,15.17,41.16,9.84,45.83,Open play,Short pass,Saved
27,Newcastle,Melbourne Victory,19.05,24.03,37.05,25.04,Open play,Short pass,Saved
27,Newcastle,Melbourne Victory,20.27,24.71,32.4,24.83,Open play,Short pass,Missed
27,Newcastle,Melbourne Victory,23.41,11.66,34.06,12.35,Open play,Cross,Missed
27,Newcastle,Melbourne Victory,35.49,22.01,19.05,24.58,Open play,Throw-in,Blocked
27,Newcastle,Melbourne Victory,46.26,20.45,12.1,27.18,Open play,Turnover,Missed
27,Newcastle,Melbourne Victory,63.52,11.3,27.8,11.51,Open play,Cross,Missed
27,Newcastle,Melbourne Victory,69.04,11.35,43.36,17.53,Open play,Long through,Saved
27,Newcastle,Melbourne Victory,77.28,20.72,38.19,22.28,Corner,Corner,Blocked
27,Melbourne Victory,Newcastle,0.02,49.98,26.8,50.08,Open play,N/A,Missed
27,Melbourne Victory,Newcastle,12.36,20.45,40.02,22.77,Open play,Long through,Goal
27,Melbourne Victory,Newcastle,27.46,12.47,33.15,12.86,Open play,Cross,Blocked
27,Melbourne Victory,Newcastle,28.53,28.37,27.21,28.51,Corner,Corner,Saved
27,Melbourne Victory,Newcastle,48.37,6.5,42.77,14.33,Open play,Long through,Saved
27,Melbourne Victory,Newcastle,74.49,20.2,15.76,24.71,Open play,Long through,Blocked
27,Melbourne Victory,Newcastle,75.04,24.26,18.51,26.84,Open play,Short pass,Missed
27,Melbourne Victory,Newcastle,76.25,11.12,20.57,14.58,Open play,Short pass,Saved
27,Melbourne Victory,Newcastle,87.08,20.76,38.33,22.37,Open play,Short pass,Saved
27,Melbourne Victory,Newcastle,89.28,12.89,36.59,14.48,Open play,Cross,Saved
27,Melbourne Victory,Newcastle,92.17,17.92,30.33,17.92,Open play,Short through,Blocked
28,Melbourne City,Perth,10.53,2.97,27.66,3.78,Open play,Cross,Goal
28,Melbourne City,Perth,14.16,12.87,40.48,16.6,Open play,Short pass,Missed
28,Melbourne City,Perth,16.15,10.15,20.8,13.7,Open play,Cross,Blocked
28,Melbourne City,Perth,17.06,31.81,28.12,31.87,Open play,Turnover,Blocked
28,Melbourne City,Perth,20.06,10.88,31.85,11.04,Open play,Cross,Goal
28,Melbourne City,Perth,24.52,11.87,27.98,12.04,Open play,Short pass,Blocked
28,Melbourne City,Perth,26.33,6.7,29.9,6.7,Corner,Corner,Missed
28,Melbourne City,Perth,35.24,16.95,41.85,20.68,Open play,Medium pass,Blocked
28,Melbourne City,Perth,47.08,13.81,16.99,18.97,Open play,Turnover,Saved
28,Melbourne City,Perth,51.45,10.5,30.8,10.53,Open play,Medium through,Goal
28,Melbourne City,Perth,53.48,8.7,24.09,10.52,Open play,Short through,Saved
28,Melbourne City,Perth,62.5,16.55,24.23,17.53,Open play,Long through,Goal
28,Melbourne City,Perth,74.57,8.5,27.2,8.95,Open play,Cross ,Missed
28,Melbourne City,Perth,83.43,21,21.26,22.75,Open play,Medium pass,Missed
28,Melbourne City,Perth,86.47,16.12,23.2,17.5,Open play,Medium pass,Saved
28,Perth,Melbourne City,40.44,16.6,28.85,16.64,Open play,Cross,Missed
28,Perth,Melbourne City,50.58,16.72,40.56,19.78,Open play,Long through,Blocked
28,Perth,Melbourne City,83.14,25.4,36.13,26.13,Open play,Turnover,Saved
28,Perth,Melbourne City,89.54,13.25,38.65,15.82,Open play,Medium through,Saved
28,Perth,Melbourne City,91.1,13.15,40.48,16.82,Open play,Long through,Saved
29,Sydney,Perth,5.15,8.68,24.77,10.13,Open play,Short pass,Missed
29,Sydney,Perth,8.41,11.17,19.74,15.17,Open play,Long through,Saved
29,Sydney,Perth,25.4,5.82,29.62,5.83,Open play,Cross,Goal
29,Sydney,Perth,32.28,16.32,32.87,16.57,Open play,Long through,Missed
29,Sydney,Perth,33.36,15.32,29.87,15.32,Open play,Short pass,Saved
29,Sydney,Perth,38.1,14.96,27.66,15.14,Open play,Medium through,Goal
29,Sydney,Perth,47.2,13.27,29.88,13.27,Open play,Medium pass,Goal
29,Sydney,Perth,54.06,22.43,23.54,23.34,Open play,Long through,Missed
29,Sydney,Perth,62.25,16.7,21.8,18.6,Open play,Medium through,Saved
29,Sydney,Perth,72.45,42.08,33.12,42.2,Open play,Turnover,Missed
29,Sydney,Perth,81.01,16.1,40.71,19.34,Open play,Long through,Missed
29,Sydney,Perth,84.21,14.87,26.75,15.22,Open play,Short through,Goal
29,Perth,Sydney,4.14,16.98,29.9,16.98,Open play,Cross,Goal
29,Perth,Sydney,69.51,25.4,27.52,25.52,Open play,Short pass,Missed
29,Perth,Sydney,74.45,28.6,28.49,28.64,Open play,Medium pass,Missed
29,Perth,Sydney,76.55,16.44,25.3,17.1,Open play,Short pass,Missed
30,Melbourne Victory,Perth,2.4,20.2,29.1,20.22,Corner,Short pass,Saved
30,Melbourne Victory,Perth,8.05,5.12,29.13,5.19,Open play,Cross,Goal
30,Melbourne Victory,Perth,17.03,13.12,30.86,13.15,Open play,Cross,Saved
30,Melbourne Victory,Perth,47.17,16.85,30.33,16.85,Open play,Short pass,Missed
30,Melbourne Victory,Perth,49.09,16.6,12.87,23.85,Open play,Medium pass,Missed
30,Melbourne Victory,Perth,53.06,18.15,25.6,18.68,Open play,Turnover,Saved
30,Melbourne Victory,Perth,74.51,8.199,37.05,10.81,Open play,Cross,Missed
30,Melbourne Victory,Perth,84.21,26.54,36.36,27.29,Open play,Short pass,Missed
30,Melbourne Victory,Perth,88.26,3.43,27.21,4.42,Open play,Short pass,Goal
30,Perth,Melbourne Victory,16.02,21.75,37.05,22.86,Open play,Medium pass,Missed
30,Perth,Melbourne Victory,20.58,21.55,24,22.37,Set play,Free Kick,Saved
30,Perth,Melbourne Victory,26.44,20.88,21.03,22.73,Open play,Medium pass,Missed
30,Perth,Melbourne Victory,56.31,22.2,47.8,28.45,Open play,Short pass,Saved
30,Perth,Melbourne Victory,59.56,9.15,38.28,12.34,Open play,Long through,Saved
30,Perth,Melbourne Victory,60.16,13.96,36.57,15.43,Open play,Medium through,Missed
30,Perth,Melbourne Victory,60.59,16.88,39.33,19.29,Open play,Turnover,Missed
30,Perth,Melbourne Victory,67.21,25.4,43.22,28.63,Open play,Turnover,Missed
30,Perth,Melbourne Victory,69.11,20.43,36.36,21.4,Open play,Short pass,Missed
30,Perth,Melbourne Victory,83.11,30.66,34.29,30.96,Open play,Short pass,Goal
30,Perth,Melbourne Victory,91.51,16.88,23.86,17.96,Open play,Medium through,Saved
31,Brisbane,Sydney,7.54,16.45,49.63,25.61,Open play,Short through,Missed
31,Brisbane,Sydney,18.35,9.84,40.02,14.04,Open play,Medium through,Goal
31,Brisbane,Sydney,45.3,14.04,46.89,21.96,Open play,Header,Blocked
31,Brisbane,Sydney,62.31,27.89,7.11,36.08,Set play,Free Kick,Goal
31,Brisbane,Sydney,77.13,15.01,27.89,15.16,Open play,Turnover,Saved
31,Brisbane,Sydney,81.01,13.57,25.6,14.27,Open play,Header,Blocked
31,Brisbane,Sydney,81.06,15.17,28.49,15.24,Open play,Short pass,Blocked
31,Brisbane,Sydney,81.37,27.23,28.72,27.26,Open play,Header,Saved
31,Brisbane,Sydney,88.12,11.37,22.82,13.45,Open play,Medium through,Saved
31,Sydney,Brisbane,12.1,1.11,41.16,11.22,Open play,Medium through,Missed
31,Sydney,Brisbane,20.35,29.29,29.87,29.29,Open play,Medium pass,Saved
31,Sydney,Brisbane,21.29,20.99,24.23,21.77,Open play,Short pass,Saved
31,Sydney,Brisbane,24.44,16.99,25.86,17.49,Open play,Short pass,Saved
31,Sydney,Brisbane,36.5,39.56,31.12,39.58,Open play,Short pass,Missed
31,Sydney,Brisbane,38.52,11.48,40.71,15.7,Open play,Medium pass,Saved
31,Sydney,Brisbane,60.47,21.74,19.88,23.98,Open play,Long through,Missed
31,Sydney,Brisbane,63.46,8.97,28.99,9.03,Open play,Cross,Missed
31,Sydney,Brisbane,63.51,3.89,38.19,9.07,Open play,Missed shot,Saved
31,Sydney,Brisbane,79.22,19.66,22.17,21.16,Open play,Long pass,Blocked
32,Brisbane,Melbourne City,10.57,32.49,22.86,33.27,Open play,Turnover,Missed
32,Brisbane,Melbourne City,67.51,12.01,37.96,14.41,Open play,Short pass,Missed
32,Brisbane,Melbourne City,70.31,39.33,25.63,39.57,Open play,Medium pass,Blocked
32,Brisbane,Melbourne City,73.09,8.35,45.08,17.24,Open play,Long pass,Blocked
32,Brisbane,Melbourne City,75.47,23.44,20.57,25.27,Open play,Short pass,Blocked
32,Brisbane,Melbourne City,77.04,9.57,21.71,12.66,Corner,Corner,Missed
32,Brisbane,Melbourne City,81.06,11.05,13.22,20.09,Open play,Short pass,Blocked
32,Brisbane,Melbourne City,88.1,16.4,41.85,20.23,Open play,Short pass,Blocked
32,Brisbane,Melbourne City,88.15,19.87,43.45,23.99,Open play,Header,Blocked
32,Melbourne City,Brisbane,2.28,2.35,34.99,5.52,Open play,Header,Missed
32,Melbourne City,Brisbane,4.55,11.87,37.96,14.29,Open play,Turnover,Blocked
32,Melbourne City,Brisbane,5.26,5.77,24.23,8.16,Corner,Corner,Missed
32,Melbourne City,Brisbane,17.11,6.27,29.85,6.27,Open play,Cross,Blocked
32,Melbourne City,Brisbane,20.44,16.15,15.99,21.38,Open play,Throw-in,Missed
32,Melbourne City,Brisbane,21.22,11.33,26.06,12,Corner,Corner,Missed
32,Melbourne City,Brisbane,38.44,15.99,38.19,17.97,Open play,Header,Missed
32,Melbourne City,Brisbane,41.23,12.27,15.99,18.62,Open play,Medium through,Missed
32,Melbourne City,Brisbane,43.05,11.17,30.11,11.17,Open play,Medium pass,Blocked
32,Melbourne City,Brisbane,46.37,14.27,27.66,14.46,Open play,Long through,Missed
32,Melbourne City,Brisbane,47.29,20,15.54,24.68,Corner,Header,Missed
32,Melbourne City,Brisbane,56.41,6.28,27.21,6.87,Open play,Cross,Saved
32,Melbourne City,Brisbane,57.36,19.86,45.51,25.2,Open play,Long pass,Missed
32,Melbourne City,Brisbane,60.47,13.81,45.28,20.6,Open play,Short pass,Missed
32,Melbourne City,Brisbane,71.17,16.52,39.33,18.97,Open play,Header,Blocked
32,Melbourne City,Brisbane,72.03,5.22,30.33,5.23,Corner,Header,Saved
32,Melbourne City,Brisbane,79.34,10.85,20.88,14.17,Corner,Short pass,Missed
32,Melbourne City,Brisbane,80.1,22.63,15.89,26.67,Open play,Medium through,Missed
32,Melbourne City,Brisbane,85.56,16.27,42.77,20.68,Open play,Cross,Saved
33,Brisbane,Western Sydney,19.33,22.44,26.75,22.67,Open play,Short pass,Saved
33,Brisbane,Western Sydney,25.5,12.93,44.6,19.5,Open play,Medium pass,Missed
33,Brisbane,Western Sydney,30.33,5.05,37.73,9.23,Open play,Turnover,Saved
33,Brisbane,Western Sydney,61.49,33.84,14.5,37.22,Open play,Long through,Goal
33,Brisbane,Western Sydney,80.51,28.83,23.77,29.5,Open play,Medium pass,Saved
33,Brisbane,Western Sydney,90.18,5.5,30.3,5.51,Open play,Cross,Saved
33,Brisbane,Western Sydney,90.2,0.8,27.58,2.55,Open play,Missed shot,Goal
33,Western Sydney,Brisbane,5.42,11.27,30.64,11.29,Open play,Short pass,Missed
33,Western Sydney,Brisbane,10.52,28.31,31.55,28.35,Open play,Turnover,Missed
33,Western Sydney,Brisbane,16.5,9.98,31.2,10.05,Open play,Cross,Missed
33,Western Sydney,Brisbane,29.26,9.57,37.27,12.02,Open play,Cross,Missed
33,Western Sydney,Brisbane,31.49,29.52,28.81,29.54,Open play,Turnover,Missed
33,Western Sydney,Brisbane,32.22,11.87,28.37,11.98,Open play,Short pass,Saved
33,Western Sydney,Brisbane,33.03,22.74,48.95,29.6,Open play,Medium pass,Blocked
33,Western Sydney,Brisbane,38.02,5.08,37.25,8.85,Open play,Cross,Missed
33,Western Sydney,Brisbane,50.28,22.42,14.16,27.45,Open play,Long pass,Missed
33,Western Sydney,Brisbane,56.01,6.12,31.03,6.21,Open play,Cross,Saved
33,Western Sydney,Brisbane,56.04,5.13,39.71,10.98,Open play,Missed shot,Saved
33,Western Sydney,Brisbane,67.27,16.22,27.66,16.39,Open play,Turnover,Missed
33,Western Sydney,Brisbane,78.26,24.03,34.44,24.44,Open play,Long through,Missed
33,Western Sydney,Brisbane,86.18,16.42,36.59,17.69,Open play,Cross,Saved
34,Newcastle,Western Sydney,11.4,29.75,37.5,30.68,Open play,Short pass,Missed
34,Newcastle,Western Sydney,16.5,8.57,31.82,8.76,Open play,Cross,Missed
34,Newcastle,Western Sydney,24.13,5.49,21.49,10.13,Open play,Medium through,Missed
34,Newcastle,Western Sydney,27.23,16.4,18.51,20.02,Open play,Medium through,Missed
34,Newcastle,Western Sydney,31.09,20.14,30.1,20.14,Open play,Long pass,Missed
34,Newcastle,Western Sydney,39.46,10.82,38.42,13.71,Open play,Short through,Goal
34,Newcastle,Western Sydney,45.36,5.3,27.98,5.67,Corner,Corner,Missed
34,Newcastle,Western Sydney,48.52,11.16,40.94,15.63,Open play,Long through,Blocked
34,Newcastle,Western Sydney,52.01,14.56,20.11,17.6,Open play,Medium pass,Missed
34,Newcastle,Western Sydney,58.1,28.12,42.31,30.7,Open play,Medium pass,Missed
34,Newcastle,Western Sydney,63.13,27.82,37.27,28.75,Open play,Medium pass,Saved
34,Newcastle,Western Sydney,69.34,15.02,29.04,15.05,Open play,Cross,Saved
34,Newcastle,Western Sydney,70.23,3.43,26.06,5.22,Corner,Corner,Blocked
34,Newcastle,Western Sydney,72.41,14.37,28.12,14.49,Open play,Short through,Blocked
34,Newcastle,Western Sydney,72.43,12.52,27.85,12.7,Open play,Missed shot,Missed
34,Newcastle,Western Sydney,73.33,20.45,23.54,21.45,Open play,Medium pass,Missed
34,Newcastle,Western Sydney,86.26,26.29,31.78,26.35,Open play,Short pass,Saved
34,Newcastle,Western Sydney,86.54,11.47,34.76,12.42,Open play,Medium through,Saved
34,Newcastle,Western Sydney,91.39,16.52,40.71,19.69,Open play,Long through,Missed
34,Newcastle,Western Sydney,92.04,19.67,32.93,19.89,Open play,Medium through,Missed
34,Newcastle,Western Sydney,92.45,9.32,19.88,13.76,Open play,Short pass,Saved
34,Western Sydney,Newcastle,8.16,11.05,29.9,11.05,Corner,Corner,Saved
34,Western Sydney,Newcastle,48.02,16.66,24,17.71,Open play,Short pass,Missed
34,Western Sydney,Newcastle,49.31,15.67,33.38,16.03,Open play,Medium pass,Blocked
34,Western Sydney,Newcastle,49.33,14.47,31.39,14.54,Open play,Missed shot,Missed
34,Western Sydney,Newcastle,64.43,11.12,42.77,16.93,Open play,Medium pass,Blocked
34,Western Sydney,Newcastle,65.08,10.88,31.25,10.95,Corner,Corner,Missed
34,Western Sydney,Newcastle,65.1,5.1,23.77,8.05,Corner,Header,Missed
34,Western Sydney,Newcastle,76.59,16.47,33.12,16.76,Open play,Long through,Missed
34,Western Sydney,Newcastle,79.23,24.26,35.44,24.86,Open play,Short pass,Missed
34,Western Sydney,Newcastle,79.59,9.4,16.22,16.68,Open play,Medium pass,Saved
35,Perth,Western Sydney,18.33,16.4,38.88,18.65,Open play,Cross,Missed
35,Perth,Western Sydney,27.3,12.48,21.03,15.37,Open play,Medium pass,Missed
35,Perth,Western Sydney,33.12,20.35,40.71,23,Open play,Short pass,Missed
35,Perth,Western Sydney,41.45,16.45,33.02,16.72,Open play,Short pass,Saved
35,Perth,Western Sydney,45.29,22.28,28.12,22.36,Open play,Short pass,Missed
35,Perth,Western Sydney,56.24,25.63,34.07,25.95,Open play,Medium pass,Saved
35,Perth,Western Sydney,57.53,15.87,31.12,15.91,Open play,Short through,Saved
35,Perth,Western Sydney,64.52,15.82,28.77,15.87,Open play,Medium pass,Missed
35,Perth,Western Sydney,67.45,25.4,27.4,25.53,Open play,Short pass,Saved
35,Perth,Western Sydney,68.28,19.9,29.98,19.9,Open play,Medium pass,Blocked
35,Perth,Western Sydney,68.3,15.6,24.69,16.48,Open play,Missed shot,Missed
35,Perth,Western Sydney,77,19.67,35.67,20.47,Open play,Short pass,Missed
35,Perth,Western Sydney,83.43,22.43,32.24,22.54,Open play,Short pass,Saved
35,Perth,Western Sydney,89.37,26.32,34.07,26.63,Open play,Turnover,Missed
35,Perth,Western Sydney,92.37,26.09,35.22,26.61,Open play,Header,Saved
35,Western Sydney,Perth,3.52,16.58,24.23,17.56,Open play,Long pass,Saved
35,Western Sydney,Perth,5.43,16.72,28.12,16.83,Open play,Short pass,Blocked
35,Western Sydney,Perth,8.19,2.52,37.5,7.91,Corner,Cross,Saved
35,Western Sydney,Perth,20.46,20.92,26.75,21.17,Open play,Medium pass,Blocked
35,Western Sydney,Perth,22.03,21.05,12.33,27.48,Open play,Medium pass,Saved
35,Western Sydney,Perth,32.23,6.01,26.29,7.06,Open play,Cross,Missed
35,Western Sydney,Perth,36.33,12.37,27.88,12.55,Set play,Free Kick,Saved
35,Western Sydney,Perth,49.55,19.91,27.21,20.1,Open play,Short pass,Blocked
35,Western Sydney,Perth,52.13,30.21,29.49,30.21,Open play,Short pass,Saved
35,Western Sydney,Perth,53.03,10.07,36.19,11.82,Open play,Long through,Missed
35,Western Sydney,Perth,53.58,29.52,18.51,31.68,Open play,Short pass,Saved
35,Western Sydney,Perth,64.06,2.11,34.76,5.21,Corner,Corner,Missed
35,Western Sydney,Perth,81.13,20.11,32.7,20.29,Open play,Medium pass,Saved
35,Western Sydney,Perth,84.56,16.11,30.81,16.13,Open play,Cross,Missed
35,Western Sydney,Perth,86.06,5.77,34.22,7.15,Open play,Cross,Goal
35,Western Sydney,Perth,87.04,20.3,37.05,21.49,Open play,Medium pass,Missed
35,Western Sydney,Perth,91.07,16.45,28.27,16.54,Open play,Short pass,Goal
36,Perth,Canberra,0.52,9.42,33.93,10.21,Corner,Corner,Blocked
36,Perth,Canberra,5.01,21.15,27.96,21.25,Open play,Medium pass,Saved
36,Perth,Canberra,23.46,23.85,23.61,24.69,Open play,Short pass,Saved
36,Perth,Canberra,45.02,22.49,32.55,22.63,Open play,Turnover,Saved
36,Perth,Canberra,46.33,14.83,31.47,14.9,Set play,Free Kick,Missed
36,Perth,Canberra,66.5,20.43,28.55,20.48,Open play,Medium pass,Blocked
36,Perth,Canberra,89.01,21.86,36.14,22.71,Open play,Medium pass,Blocked
36,Canberra,Perth,9.28,10.1,19.94,14.26,Open play,Medium through,Missed
36,Canberra,Perth,14.5,23.14,22.46,24.34,Open play,Short pass,Blocked
36,Canberra,Perth,15.11,16.24,17.64,20.41,Corner,Medium pass,Blocked
36,Canberra,Perth,17.33,6.82,42.18,13.96,Open play,Cross,Saved
36,Canberra,Perth,21.2,2.89,35.76,6.44,Corner,Corner,Goal
36,Canberra,Perth,41.37,13.11,42.41,18.05,Open play,Throw-in,Saved
36,Canberra,Perth,42.04,10.22,30.65,10.24,Corner,Corner,Blocked
36,Canberra,Perth,48.52,35.78,34.61,36.08,Open play,Turnover,Missed
36,Canberra,Perth,53.35,30.05,44.02,33.16,Open play,Turnover,Missed
36,Canberra,Perth,57.57,10.92,20.71,14.34,Open play,Short through,Missed
36,Canberra,Perth,58.32,12.01,30.88,12.04,Open play,Short through,Saved
36,Canberra,Perth,59,17.01,43.1,21.47,Open play,Short pass,Saved
36,Canberra,Perth,61.53,17.55,18.33,21.08,Open play,Medium pass,Saved
36,Canberra,Perth,64.05,22.35,39.89,24.44,Open play,Medium through,Missed
36,Canberra,Perth,67.08,16.4,16.27,21.39,Open play,Long through,Missed
36,Canberra,Perth,68.2,22.41,36.45,23.32,Open play,Short pass,Saved
36,Canberra,Perth,72.14,8.54,23.72,10.6,Open play,Medium through,Missed
36,Canberra,Perth,73.29,21.05,32.78,21.23,Open play,Cross,Blocked
36,Canberra,Perth,73.35,21.53,30.47,21.54,Open play,Missed shot,Saved
36,Canberra,Perth,77.32,22.89,32.78,23.06,Open play,Short pass,Saved
36,Canberra,Perth,78.19,7.88,36.37,10.13,Open play,Cross,Saved
36,Canberra,Perth,82.57,14.53,39.89,17.58,Open play,Short pass,Missed
36,Canberra,Perth,84.39,5.12,31.3,5.28,Open play,Cross,Goal